,AGER
0,3.0
1,4.0
2,4.0
3,3.0
4,3.0
5,3.0
6,2.0
7,2.0
8,3.0
9,3.0
10,4.0
11,3.0
12,2.0
13,3.0
14,2.0
15,4.0
16,3.0
17,2.0
18,3.0
19,4.0
20,4.0
21,2.0
22,4.0
23,4.0
24,3.0
25,3.0
26,2.0
27,3.0
28,4.0
29,4.0
30,3.0
31,5.0
32,3.0
33,5.0
34,3.0
35,3.0
36,3.0
37,3.0
38,6.0
39,6.0
40,2.0
41,6.0
42,6.0
43,5.0
44,6.0
45,4.0
46,4.0
47,4.0
48,4.0
49,3.0
50,5.0
51,3.0
52,2.0
53,6.0
54,4.0
55,4.0
56,5.0
57,4.0
58,5.0
59,4.0
60,4.0
61,6.0
62,6.0
63,4.0
64,4.0
65,5.0
66,5.0
67,4.0
68,4.0
69,6.0
70,5.0
71,1.0
72,1.0
73,3.0
74,1.0
75,2.0
76,1.0
77,2.0
78,5.0
79,4.0
80,1.0
81,1.0
82,3.0
83,1.0
84,3.0
85,3.0
86,4.0
87,3.0
88,1.0
89,1.0
90,2.0
91,2.0
92,4.0
93,2.0
94,1.0
95,3.0
96,3.0
97,2.0
98,4.0
99,1.0
100,2.0
101,2.0
102,3.0
103,4.0
104,3.0
105,5.0
106,1.0
107,3.0
108,3.0
109,5.0
110,3.0
111,4.0
112,3.0
113,2.0
114,3.0
115,3.0
116,6.0
117,3.0
118,3.0
119,1.0
120,3.0
121,2.0
122,4.0
123,2.0
124,1.0
125,3.0
126,3.0
127,5.0
128,4.0
129,3.0
130,1.0
131,3.0
132,6.0
133,3.0
134,2.0
135,2.0
136,3.0
137,4.0
138,3.0
139,1.0
140,1.0
141,4.0
142,1.0
143,4.0
144,3.0
145,1.0
146,1.0
147,4.0
148,1.0
149,4.0
150,3.0
151,3.0
152,3.0
153,2.0
154,2.0
155,1.0
156,2.0
157,1.0
158,2.0
159,3.0
160,2.0
161,6.0
162,3.0
163,2.0
164,3.0
165,2.0
166,4.0
167,3.0
168,3.0
169,4.0
170,3.0
171,4.0
172,1.0
173,2.0
174,1.0
175,3.0
176,3.0
177,3.0
178,2.0
179,2.0
180,3.0
181,3.0
182,6.0
183,1.0
184,6.0
185,4.0
186,3.0
187,3.0
188,5.0
189,4.0
190,4.0
191,2.0
192,3.0
193,3.0
194,3.0
195,2.0
196,2.0
197,1.0
198,2.0
199,4.0
200,2.0
201,4.0
202,2.0
203,4.0
204,5.0
205,1.0
206,1.0
207,4.0
208,2.0
209,3.0
210,6.0
211,3.0
212,3.0
213,3.0
214,3.0
215,1.0
216,4.0
217,3.0
218,1.0
219,1.0
220,1.0
221,2.0
222,3.0
223,4.0
224,3.0
225,1.0
226,4.0
227,6.0
228,3.0
229,3.0
230,2.0
231,1.0
232,5.0
233,1.0
234,2.0
235,1.0
236,4.0
237,1.0
238,3.0
239,1.0
240,6.0
241,4.0
242,5.0
243,2.0
244,2.0
245,1.0
246,2.0
247,3.0
248,5.0
249,4.0
250,3.0
251,4.0
252,3.0
253,3.0
254,4.0
255,1.0
256,4.0
257,1.0
258,3.0
259,2.0
260,1.0
261,2.0
262,5.0
263,2.0
264,2.0
265,1.0
266,3.0
267,2.0
268,3.0
269,3.0
270,3.0
271,5.0
272,3.0
273,4.0
274,6.0
275,4.0
276,6.0
277,3.0
278,3.0
279,2.0
280,1.0
281,1.0
282,1.0
283,3.0
284,4.0
285,3.0
286,2.0
287,3.0
288,4.0
289,5.0
290,4.0
291,3.0
292,3.0
293,3.0
294,2.0
295,2.0
296,1.0
297,1.0
298,3.0
299,2.0
300,2.0
301,1.0
302,1.0
303,2.0
304,3.0
305,2.0
306,3.0
307,2.0
308,2.0
309,4.0
310,3.0
311,4.0
312,1.0
313,2.0
314,4.0
315,3.0
316,3.0
317,4.0
318,2.0
319,1.0
320,2.0
321,3.0
322,3.0
323,3.0
324,2.0
325,2.0
326,3.0
327,2.0
328,3.0
329,2.0
330,2.0
331,2.0
332,2.0
333,4.0
334,6.0
335,1.0
336,2.0
337,2.0
338,3.0
339,4.0
340,2.0
341,4.0
342,2.0
343,1.0
344,3.0
345,3.0
346,3.0
347,6.0
348,3.0
349,3.0
350,3.0
351,1.0
352,4.0
353,2.0
354,4.0
355,2.0
356,3.0
357,5.0
358,6.0
359,3.0
360,3.0
361,6.0
362,5.0
363,3.0
364,3.0
365,4.0
366,4.0
367,2.0
368,6.0
369,5.0
370,3.0
371,3.0
372,6.0
373,5.0
374,3.0
375,4.0
376,2.0
377,4.0
378,6.0
379,6.0
380,3.0
381,4.0
382,1.0
383,2.0
384,3.0
385,3.0
386,2.0
387,1.0
388,1.0
389,6.0
390,3.0
391,4.0
392,2.0
393,2.0
394,4.0
395,5.0
396,3.0
397,2.0
398,2.0
399,3.0
400,2.0
401,2.0
402,4.0
403,2.0
404,2.0
405,3.0
406,2.0
407,1.0
408,3.0
409,6.0
410,1.0
411,2.0
412,1.0
413,6.0
414,3.0
415,1.0
416,1.0
417,6.0
418,2.0
419,2.0
420,1.0
421,1.0
422,1.0
423,3.0
424,3.0
425,2.0
426,2.0
427,1.0
428,1.0
429,2.0
430,3.0
431,2.0
432,2.0
433,1.0
434,2.0
435,5.0
436,4.0
437,3.0
438,4.0
439,1.0
440,2.0
441,2.0
442,6.0
443,1.0
444,2.0
445,2.0
446,3.0
447,3.0
448,3.0
449,1.0
450,2.0
451,2.0
452,1.0
453,2.0
454,4.0
455,2.0
456,1.0
457,2.0
458,2.0
459,3.0
460,4.0
461,2.0
462,2.0
463,1.0
464,1.0
465,1.0
466,1.0
467,3.0
468,4.0
469,3.0
470,2.0
471,2.0
472,2.0
473,2.0
474,4.0
475,5.0
476,4.0
477,4.0
478,5.0
479,4.0
480,4.0
481,1.0
482,4.0
483,4.0
484,1.0
485,3.0
486,1.0
487,1.0
488,4.0
489,3.0
490,3.0
491,4.0
492,3.0
493,5.0
494,1.0
495,1.0
496,2.0
497,2.0
498,3.0
499,1.0
500,1.0
501,1.0
502,1.0
503,4.0
504,4.0
505,1.0
506,1.0
507,1.0
508,3.0
509,2.0
510,6.0
511,2.0
512,1.0
513,1.0
514,4.0
515,3.0
516,2.0
517,1.0
