,COMSTAT2
0,1.0
1,1.0
2,1.0
3,
4,1.0
5,
6,
7,
8,1.0
9,2.0
10,
11,
12,
13,1.0
14,
15,1.0
16,1.0
17,
18,1.0
19,1.0
20,1.0
21,1.0
22,2.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,
29,1.0
30,1.0
31,1.0
32,
33,1.0
34,2.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,
41,1.0
42,
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,2.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,
72,
73,1.0
74,1.0
75,1.0
76,
77,1.0
78,1.0
79,1.0
80,
81,
82,1.0
83,1.0
84,1.0
85,
86,1.0
87,1.0
88,
89,1.0
90,
91,
92,1.0
93,1.0
94,
95,2.0
96,
97,1.0
98,1.0
99,
100,1.0
101,
102,
103,1.0
104,1.0
105,1.0
106,
107,1.0
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,2.0
115,1.0
116,
117,1.0
118,1.0
119,1.0
120,
121,
122,1.0
123,
124,
125,1.0
126,2.0
127,1.0
128,
129,2.0
130,
131,1.0
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,
141,1.0
142,1.0
143,1.0
144,1.0
145,
146,2.0
147,1.0
148,1.0
149,
150,1.0
151,3.0
152,
153,
154,1.0
155,
156,
157,1.0
158,2.0
159,2.0
160,
161,1.0
162,
163,
164,
165,1.0
166,1.0
167,1.0
168,1.0
169,
170,1.0
171,1.0
172,
173,
174,
175,1.0
176,1.0
177,1.0
178,
179,1.0
180,1.0
181,1.0
182,1.0
183,
184,1.0
185,1.0
186,
187,
188,2.0
189,1.0
190,1.0
191,1.0
192,1.0
193,1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,2.0
199,1.0
200,1.0
201,1.0
202,1.0
203,
204,1.0
205,
206,1.0
207,1.0
208,1.0
209,1.0
210,2.0
211,1.0
212,
213,1.0
214,2.0
215,1.0
216,1.0
217,1.0
218,
219,1.0
220,
221,1.0
222,
223,1.0
224,
225,
226,1.0
227,
228,1.0
229,1.0
230,1.0
231,
232,2.0
233,2.0
234,
235,
236,
237,
238,
239,
240,
241,
242,1.0
243,1.0
