,GPMED1
0,2.0
1,1.0
2,2.0
3,2.0
4,2.0
5,2.0
6,2.0
7,2.0
8,2.0
9,3.0
10,-7.0
11,-7.0
12,2.0
13,2.0
14,2.0
15,2.0
16,1.0
17,2.0
18,2.0
19,2.0
20,2.0
21,2.0
22,2.0
23,2.0
24,2.0
25,2.0
26,2.0
27,2.0
28,-7.0
29,2.0
30,2.0
31,2.0
32,2.0
33,2.0
34,2.0
35,2.0
36,2.0
37,1.0
38,2.0
39,2.0
40,2.0
41,3.0
42,-7.0
43,2.0
44,2.0
45,1.0
46,2.0
47,2.0
48,2.0
49,2.0
50,2.0
51,2.0
52,2.0
53,2.0
54,2.0
55,2.0
56,1.0
57,2.0
58,2.0
59,2.0
60,2.0
61,2.0
62,2.0
63,2.0
64,2.0
65,2.0
66,3.0
67,2.0
68,2.0
69,2.0
70,3.0
71,-7.0
72,-7.0
73,1.0
74,2.0
75,2.0
76,-7.0
77,2.0
78,2.0
79,2.0
80,-7.0
81,-7.0
82,2.0
83,2.0
84,2.0
85,2.0
86,2.0
87,2.0
88,-7.0
89,2.0
90,2.0
91,2.0
92,2.0
93,2.0
94,-7.0
95,2.0
96,-7.0
97,2.0
98,2.0
99,-7.0
100,1.0
101,-7.0
102,-7.0
103,1.0
104,2.0
105,-9.0
106,2.0
107,1.0
108,1.0
109,-9.0
110,1.0
111,1.0
112,-9.0
113,-9.0
114,1.0
115,1.0
116,1.0
117,2.0
118,1.0
119,1.0
120,3.0
121,-7.0
122,2.0
123,3.0
124,1.0
125,1.0
126,3.0
127,2.0
128,1.0
129,2.0
130,1.0
131,1.0
132,-9.0
133,-9.0
134,2.0
135,1.0
136,3.0
137,1.0
138,2.0
139,1.0
140,-9.0
141,2.0
142,1.0
143,1.0
144,1.0
145,3.0
146,1.0
147,-9.0
148,1.0
149,2.0
150,1.0
151,-9.0
152,-7.0
153,-7.0
154,3.0
155,3.0
156,2.0
157,-9.0
158,-9.0
159,3.0
160,-9.0
161,2.0
162,1.0
163,-7.0
164,3.0
165,1.0
166,-9.0
167,1.0
168,2.0
169,-7.0
170,1.0
171,1.0
172,-7.0
173,-9.0
174,2.0
175,2.0
176,3.0
177,1.0
178,-9.0
179,3.0
180,-9.0
181,1.0
182,-9.0
183,2.0
184,-9.0
185,1.0
186,-9.0
187,2.0
188,-9.0
189,-9.0
190,1.0
191,-9.0
192,1.0
193,1.0
194,3.0
195,1.0
196,1.0
197,3.0
198,2.0
199,3.0
200,1.0
201,1.0
202,-9.0
203,-7.0
204,-9.0
205,3.0
206,-9.0
207,2.0
208,1.0
209,-9.0
210,3.0
211,2.0
212,-7.0
213,2.0
214,3.0
215,3.0
216,-9.0
217,1.0
218,2.0
219,3.0
220,-7.0
221,1.0
222,3.0
223,1.0
224,-7.0
225,-7.0
226,1.0
227,-7.0
228,1.0
229,1.0
230,1.0
231,-7.0
232,1.0
233,1.0
234,1.0
235,-7.0
236,1.0
237,-7.0
238,-7.0
239,-7.0
240,-7.0
241,-7.0
242,1.0
243,3.0
244,1.0
245,1.0
246,1.0
247,-7.0
248,1.0
249,-7.0
250,1.0
251,1.0
252,-7.0
253,-7.0
254,1.0
255,1.0
256,1.0
257,-7.0
258,1.0
259,1.0
260,-7.0
261,1.0
262,1.0
263,-7.0
264,1.0
265,-7.0
266,1.0
267,1.0
268,1.0
269,-7.0
270,1.0
271,1.0
272,-7.0
273,1.0
274,-7.0
275,1.0
276,-7.0
277,-7.0
278,1.0
279,1.0
280,1.0
281,-7.0
282,2.0
283,1.0
284,-7.0
285,1.0
286,1.0
287,1.0
288,-7.0
289,1.0
290,-7.0
291,-7.0
292,1.0
293,1.0
294,1.0
295,-7.0
296,1.0
297,3.0
298,1.0
299,1.0
300,-7.0
301,2.0
302,-7.0
303,1.0
304,3.0
305,1.0
306,1.0
307,1.0
308,-7.0
309,-7.0
310,-7.0
311,-7.0
312,2.0
313,-7.0
314,-9.0
315,-7.0
316,2.0
317,-7.0
318,-7.0
319,-7.0
320,-9.0
321,-9.0
322,-7.0
323,-7.0
324,-9.0
325,-7.0
326,-7.0
327,-7.0
328,2.0
329,1.0
330,-7.0
331,-7.0
332,-7.0
333,1.0
334,-9.0
335,-7.0
336,-7.0
337,-7.0
338,-7.0
339,-9.0
340,1.0
341,-9.0
342,-7.0
343,-7.0
344,-7.0
345,-7.0
346,-9.0
347,-9.0
348,-7.0
349,2.0
350,3.0
351,-9.0
352,-7.0
353,-7.0
354,-7.0
355,-9.0
356,-9.0
357,-7.0
358,-9.0
359,-7.0
360,-9.0
361,-9.0
362,-7.0
363,1.0
364,-7.0
365,-9.0
366,1.0
367,-7.0
368,-9.0
369,-7.0
370,-9.0
371,-9.0
372,-9.0
373,-9.0
374,-7.0
375,-9.0
376,-7.0
377,-7.0
378,-9.0
379,-9.0
380,-7.0
381,1.0
382,2.0
383,-7.0
384,1.0
385,2.0
386,2.0
387,-7.0
388,1.0
389,1.0
390,1.0
391,1.0
392,2.0
393,1.0
394,3.0
395,1.0
396,1.0
397,1.0
398,1.0
399,1.0
400,2.0
401,-7.0
402,3.0
403,1.0
404,1.0
405,1.0
406,1.0
407,3.0
408,2.0
409,1.0
410,2.0
411,3.0
412,-7.0
413,1.0
414,-7.0
415,3.0
416,-7.0
417,1.0
418,-7.0
419,1.0
420,3.0
421,2.0
422,1.0
423,-7.0
424,1.0
425,3.0
426,-7.0
427,1.0
428,2.0
429,1.0
430,1.0
431,1.0
432,1.0
433,2.0
434,1.0
435,1.0
436,-7.0
437,1.0
438,2.0
439,1.0
440,2.0
441,2.0
442,1.0
443,2.0
444,-7.0
445,1.0
446,1.0
447,1.0
448,-7.0
449,3.0
450,1.0
451,1.0
452,1.0
453,1.0
454,-7.0
455,2.0
456,3.0
457,-7.0
458,1.0
459,1.0
460,1.0
461,1.0
462,1.0
463,1.0
464,1.0
465,3.0
466,1.0
467,1.0
468,1.0
469,3.0
470,2.0
471,2.0
472,3.0
473,-7.0
474,1.0
475,1.0
476,1.0
477,1.0
478,-7.0
479,2.0
480,-7.0
481,1.0
482,2.0
483,1.0
484,3.0
485,2.0
486,2.0
487,-7.0
488,2.0
489,1.0
490,1.0
491,-7.0
492,2.0
493,-7.0
494,3.0
495,2.0
496,-7.0
497,1.0
498,-7.0
499,-7.0
500,1.0
501,2.0
502,3.0
503,1.0
504,1.0
505,3.0
506,3.0
507,2.0
508,3.0
509,1.0
510,1.0
511,1.0
512,3.0
513,1.0
514,1.0
515,-7.0
516,1.0
517,-7.0
518,1.0
519,1.0
520,2.0
521,-7.0
522,-7.0
523,1.0
524,1.0
525,2.0
526,1.0
527,-7.0
528,1.0
529,2.0
530,3.0
531,1.0
532,1.0
533,1.0
534,1.0
535,3.0
536,1.0
537,-7.0
538,-7.0
539,1.0
540,1.0
541,1.0
542,1.0
543,1.0
544,2.0
545,2.0
546,1.0
547,1.0
548,-7.0
549,3.0
550,1.0
551,2.0
552,2.0
553,1.0
554,2.0
555,-7.0
556,3.0
557,2.0
558,-7.0
559,1.0
560,2.0
561,2.0
562,2.0
563,-7.0
564,1.0
565,2.0
566,3.0
567,1.0
568,-7.0
569,-7.0
570,1.0
571,1.0
572,-7.0
573,1.0
574,3.0
575,2.0
576,-7.0
577,-7.0
578,-7.0
579,1.0
580,-7.0
581,1.0
582,1.0
583,-7.0
584,1.0
585,3.0
586,2.0
587,1.0
588,1.0
589,2.0
590,-7.0
591,-7.0
592,1.0
593,2.0
594,3.0
595,1.0
596,-7.0
597,2.0
598,2.0
599,1.0
600,-7.0
601,2.0
602,2.0
603,-7.0
604,3.0
605,2.0
606,-7.0
607,2.0
608,-7.0
609,1.0
610,1.0
611,2.0
612,1.0
613,2.0
614,2.0
615,-7.0
616,3.0
617,2.0
618,1.0
619,1.0
620,-7.0
621,1.0
622,-7.0
623,1.0
624,1.0
625,1.0
626,1.0
627,3.0
628,2.0
629,1.0
630,-7.0
631,-7.0
