,LOV
0,210.0
1,247.0
2,174.0
3,94.0
4,150.0
5,36.0
6,125.0
7,77.0
8,197.0
9,112.0
10,64.0
11,94.0
12,13.0
13,90.0
14,51.0
15,63.0
16,84.0
17,88.0
18,727.0
19,112.0
20,370.0
21,84.0
22,101.0
23,129.0
24,233.0
25,141.0
26,207.0
27,182.0
28,125.0
29,44.0
30,269.0
31,145.0
32,123.0
33,167.0
34,47.0
35,154.0
36,159.0
37,177.0
38,205.0
39,222.0
40,193.0
41,1446.0
42,301.0
43,233.0
44,123.0
45,41.0
46,213.0
47,790.0
48,325.0
49,1207.0
50,150.0
51,194.0
52,18.0
53,158.0
54,180.0
55,708.0
56,97.0
57,463.0
58,2840.0
59,566.0
60,339.0
61,328.0
62,1826.0
63,419.0
64,424.0
65,216.0
66,151.0
67,598.0
68,116.0
69,140.0
70,2428.0
71,295.0
72,5560.0
73,660.0
74,330.0
75,494.0
76,302.0
77,1242.0
78,390.0
79,1344.0
80,223.0
81,1338.0
82,412.0
83,1137.0
84,318.0
85,396.0
86,292.0
87,2772.0
88,377.0
89,304.0
90,326.0
91,1894.0
92,2631.0
93,1504.0
94,320.0
95,1277.0
96,787.0
97,609.0
98,341.0
99,342.0
100,1423.0
101,201.0
102,487.0
103,1951.0
104,189.0
105,209.0
106,34.0
107,171.0
108,56.0
109,161.0
110,117.0
111,42.0
112,45.0
113,416.0
114,321.0
115,200.0
116,59.0
117,107.0
118,-9.0
119,60.0
120,192.0
121,76.0
122,-9.0
123,48.0
124,239.0
125,-9.0
126,201.0
127,49.0
128,56.0
129,28.0
130,39.0
131,247.0
132,37.0
133,52.0
134,90.0
135,64.0
136,140.0
137,145.0
138,39.0
139,-9.0
140,148.0
141,151.0
142,52.0
143,101.0
144,85.0
145,80.0
146,27.0
147,56.0
148,-9.0
149,88.0
150,91.0
151,94.0
152,44.0
153,95.0
154,50.0
155,29.0
156,224.0
157,26.0
158,70.0
159,36.0
160,131.0
161,154.0
162,94.0
163,228.0
164,139.0
165,111.0
166,261.0
167,94.0
168,55.0
169,54.0
170,155.0
171,231.0
172,42.0
173,150.0
174,85.0
175,43.0
176,65.0
177,68.0
178,69.0
179,33.0
180,71.0
181,-9.0
182,216.0
183,61.0
184,87.0
185,193.0
186,37.0
187,99.0
188,18.0
189,248.0
190,155.0
191,7.0
192,416.0
193,119.0
194,102.0
195,164.0
196,92.0
197,36.0
198,57.0
199,118.0
200,137.0
201,231.0
202,13.0
203,-9.0
204,100.0
205,86.0
206,90.0
207,92.0
208,139.0
209,115.0
210,221.0
211,165.0
212,40.0
213,34.0
214,190.0
215,47.0
216,39.0
217,172.0
218,54.0
219,142.0
220,88.0
221,131.0
222,286.0
223,460.0
224,137.0
225,260.0
226,278.0
227,-9.0
228,421.0
229,109.0
230,331.0
231,81.0
232,211.0
233,252.0
234,133.0
235,26.0
236,324.0
237,121.0
238,191.0
239,153.0
240,441.0
241,443.0
242,409.0
243,175.0
244,193.0
245,85.0
246,158.0
247,29.0
248,55.0
249,185.0
250,491.0
251,351.0
252,128.0
253,276.0
254,191.0
255,176.0
256,615.0
257,169.0
258,465.0
259,406.0
260,122.0
261,270.0
262,293.0
263,384.0
264,266.0
265,39.0
266,287.0
267,227.0
268,164.0
269,-9.0
270,131.0
271,89.0
272,-9.0
273,153.0
274,95.0
275,282.0
276,217.0
277,88.0
278,68.0
279,173.0
280,111.0
281,89.0
282,-9.0
283,406.0
284,262.0
285,280.0
286,113.0
287,208.0
288,375.0
289,205.0
290,147.0
291,-9.0
292,162.0
293,202.0
294,175.0
295,-9.0
296,176.0
297,189.0
298,88.0
299,185.0
300,-9.0
301,170.0
302,121.0
303,345.0
304,155.0
305,80.0
306,452.0
307,140.0
308,79.0
309,186.0
310,-9.0
311,-9.0
312,1209.0
313,59.0
314,-9.0
315,1106.0
316,994.0
317,419.0
318,262.0
319,97.0
320,270.0
321,4906.0
322,52.0
323,1358.0
324,-9.0
325,1154.0
326,1412.0
327,955.0
328,-9.0
329,-9.0
330,120.0
331,137.0
332,1027.0
333,849.0
334,3385.0
335,147.0
336,1423.0
337,123.0
338,120.0
339,2771.0
340,-9.0
341,-9.0
342,1291.0
343,146.0
344,176.0
345,1635.0
346,1635.0
347,3900.0
348,110.0
349,386.0
350,350.0
351,235.0
352,123.0
353,823.0
354,812.0
355,319.0
356,-9.0
357,896.0
358,-9.0
359,160.0
360,880.0
361,5397.0
362,131.0
363,-9.0
364,724.0
365,1543.0
366,1147.0
367,301.0
368,196.0
369,1418.0
370,343.0
371,537.0
372,2167.0
373,1964.0
374,126.0
375,1562.0
376,1116.0
377,310.0
378,-9.0
379,-9.0
380,63.0
381,-9.0
382,38.0
383,56.0
384,61.0
385,175.0
386,83.0
387,906.0
388,427.0
389,315.0
390,261.0
391,355.0
392,66.0
393,-9.0
394,139.0
395,139.0
396,-9.0
397,188.0
398,139.0
399,-9.0
400,135.0
401,67.0
402,234.0
403,171.0
404,428.0
405,75.0
406,400.0
407,113.0
408,249.0
409,-9.0
410,126.0
411,117.0
412,161.0
413,189.0
414,241.0
415,92.0
416,163.0
417,435.0
418,59.0
419,261.0
420,95.0
421,88.0
422,344.0
423,145.0
424,294.0
425,148.0
426,92.0
427,157.0
428,65.0
429,237.0
430,4375.0
431,80.0
432,80.0
433,108.0
434,364.0
435,1922.0
436,301.0
437,501.0
438,379.0
439,221.0
440,368.0
441,337.0
442,125.0
443,132.0
444,52.0
445,201.0
446,236.0
447,283.0
448,-9.0
449,169.0
450,459.0
451,544.0
452,187.0
453,1557.0
454,133.0
455,35.0
456,259.0
457,248.0
458,66.0
459,72.0
460,136.0
461,218.0
462,220.0
463,322.0
464,232.0
465,204.0
466,310.0
