,PATCODE
0,1.0
1,2.0
2,3.0
3,4.0
4,5.0
5,6.0
6,7.0
7,8.0
8,9.0
9,10.0
10,11.0
11,12.0
12,13.0
13,14.0
14,15.0
15,16.0
16,17.0
17,18.0
18,19.0
19,20.0
20,21.0
21,22.0
22,23.0
23,24.0
24,25.0
25,26.0
26,27.0
27,28.0
28,29.0
29,30.0
30,31.0
31,32.0
32,33.0
33,34.0
34,35.0
35,36.0
36,37.0
37,38.0
38,39.0
39,40.0
40,41.0
41,42.0
42,43.0
43,44.0
44,45.0
45,46.0
46,47.0
47,48.0
48,49.0
49,50.0
50,51.0
51,52.0
52,53.0
53,54.0
54,55.0
55,56.0
56,57.0
57,58.0
58,59.0
59,60.0
60,61.0
61,62.0
62,63.0
63,64.0
64,65.0
65,66.0
66,67.0
67,68.0
68,69.0
69,70.0
70,71.0
71,72.0
72,73.0
73,74.0
74,75.0
75,76.0
76,77.0
77,78.0
78,79.0
79,80.0
80,81.0
81,82.0
82,83.0
83,84.0
84,85.0
85,86.0
86,87.0
87,88.0
88,89.0
89,90.0
90,91.0
91,92.0
92,93.0
93,94.0
94,95.0
95,96.0
96,97.0
97,98.0
98,99.0
99,100.0
100,101.0
101,102.0
102,103.0
103,104.0
104,1.0
105,2.0
106,3.0
107,4.0
108,5.0
109,6.0
110,7.0
111,8.0
112,9.0
113,10.0
114,11.0
115,12.0
116,13.0
117,14.0
118,15.0
119,16.0
120,17.0
121,18.0
122,19.0
123,20.0
124,21.0
125,22.0
126,23.0
127,24.0
128,25.0
129,26.0
130,27.0
131,28.0
132,29.0
133,30.0
134,31.0
135,32.0
136,33.0
137,34.0
138,35.0
139,36.0
140,37.0
141,38.0
142,39.0
143,40.0
144,41.0
145,42.0
146,43.0
147,44.0
148,45.0
149,46.0
150,47.0
151,48.0
152,49.0
153,50.0
154,51.0
155,52.0
156,53.0
157,54.0
158,55.0
159,56.0
160,57.0
161,58.0
162,59.0
163,60.0
164,61.0
165,62.0
166,63.0
167,64.0
168,65.0
169,66.0
170,67.0
171,68.0
172,69.0
173,70.0
174,71.0
175,72.0
176,73.0
177,74.0
178,75.0
179,76.0
180,77.0
181,78.0
182,79.0
183,80.0
184,81.0
185,82.0
186,83.0
187,84.0
188,85.0
189,86.0
190,87.0
191,88.0
192,89.0
193,90.0
194,91.0
195,92.0
196,93.0
197,94.0
198,95.0
199,96.0
200,97.0
201,98.0
202,99.0
203,100.0
204,101.0
205,102.0
206,103.0
207,104.0
208,105.0
209,106.0
210,107.0
211,108.0
212,109.0
213,110.0
214,111.0
215,112.0
216,113.0
217,114.0
218,1.0
219,2.0
220,3.0
221,4.0
222,5.0
223,6.0
224,7.0
225,8.0
226,9.0
227,10.0
228,11.0
229,12.0
230,13.0
231,14.0
232,15.0
233,16.0
234,17.0
235,18.0
236,19.0
237,20.0
238,21.0
239,22.0
240,23.0
241,24.0
242,25.0
243,26.0
244,27.0
245,28.0
246,29.0
247,30.0
248,31.0
249,32.0
250,33.0
251,34.0
252,35.0
253,36.0
254,37.0
255,38.0
256,39.0
257,40.0
258,41.0
259,42.0
260,43.0
261,44.0
262,45.0
263,46.0
264,47.0
265,48.0
266,49.0
267,50.0
268,51.0
269,52.0
270,53.0
271,54.0
272,55.0
273,56.0
274,57.0
275,58.0
