,TEMPF
0,981.0
1,981.0
2,981.0
3,981.0
4,986.0
5,982.0
6,982.0
7,968.0
8,979.0
9,986.0
10,981.0
11,986.0
12,984.0
13,975.0
14,993.0
15,981.0
16,990.0
17,988.0
18,982.0
19,979.0
20,981.0
21,981.0
22,979.0
23,986.0
24,981.0
25,984.0
26,988.0
27,982.0
28,979.0
29,973.0
30,990.0
31,979.0
32,984.0
33,981.0
34,975.0
35,-9.0
36,975.0
37,984.0
38,993.0
39,979.0
40,984.0
41,986.0
42,982.0
43,986.0
44,982.0
45,-9.0
46,979.0
47,979.0
48,986.0
49,975.0
50,977.0
51,973.0
52,-9.0
53,984.0
54,981.0
55,984.0
56,-9.0
57,979.0
58,990.0
59,-9.0
60,975.0
61,975.0
62,982.0
63,993.0
64,986.0
65,973.0
66,975.0
67,977.0
68,982.0
69,973.0
70,984.0
71,982.0
72,988.0
73,986.0
74,977.0
75,993.0
76,986.0
77,986.0
78,982.0
79,984.0
80,988.0
81,982.0
82,984.0
83,982.0
84,977.0
85,975.0
86,975.0
87,981.0
88,981.0
89,977.0
90,981.0
91,984.0
92,988.0
93,986.0
94,986.0
95,982.0
96,979.0
97,982.0
98,974.0
99,984.0
100,982.0
101,972.0
102,982.0
103,-9.0
104,970.0
105,1006.0
106,970.0
107,982.0
108,986.0
109,983.0
110,984.0
111,986.0
112,972.0
113,970.0
114,973.0
115,972.0
116,979.0
117,972.0
118,973.0
119,967.0
120,961.0
121,970.0
122,991.0
123,976.0
124,968.0
125,970.0
126,-9.0
127,972.0
128,978.0
129,977.0
130,986.0
131,-9.0
132,983.0
133,960.0
134,970.0
135,970.0
136,986.0
137,979.0
138,974.0
139,984.0
140,965.0
141,970.0
142,980.0
143,973.0
144,982.0
145,1013.0
146,980.0
147,966.0
148,-9.0
149,970.0
150,980.0
151,983.0
152,982.0
153,978.0
154,978.0
155,978.0
156,972.0
157,974.0
158,969.0
159,978.0
160,972.0
161,970.0
162,980.0
163,970.0
164,982.0
165,980.0
166,960.0
167,980.0
168,984.0
169,972.0
170,976.0
171,986.0
172,970.0
173,974.0
174,977.0
175,979.0
176,974.0
177,982.0
178,984.0
179,977.0
180,971.0
181,983.0
182,983.0
183,970.0
184,982.0
185,970.0
186,970.0
187,974.0
188,982.0
189,982.0
190,982.0
191,974.0
192,982.0
193,980.0
194,970.0
195,985.0
196,986.0
197,-9.0
198,982.0
199,980.0
200,970.0
201,980.0
202,982.0
203,-9.0
204,978.0
205,1012.0
206,976.0
207,-9.0
208,982.0
209,977.0
210,971.0
211,977.0
212,982.0
213,983.0
214,984.0
215,1005.0
216,969.0
217,980.0
218,981.0
219,990.0
220,999.0
221,972.0
222,982.0
223,982.0
224,984.0
225,982.0
226,977.0
227,977.0
228,-9.0
229,979.0
230,984.0
231,982.0
232,981.0
233,982.0
234,975.0
235,973.0
236,982.0
237,981.0
238,977.0
239,970.0
240,991.0
241,979.0
242,984.0
243,977.0
244,-9.0
245,991.0
246,984.0
247,-9.0
248,982.0
249,971.0
250,988.0
251,977.0
252,-9.0
253,982.0
254,973.0
255,982.0
256,973.0
257,-9.0
258,986.0
259,982.0
260,-9.0
261,982.0
