,CSTRATM
0,20115201.0
1,20115201.0
2,20115201.0
3,20115201.0
4,20115201.0
5,20115201.0
6,20115201.0
7,20115201.0
8,20115201.0
9,20115201.0
10,20115201.0
11,20115201.0
12,20115201.0
13,20115201.0
14,20115201.0
15,20115201.0
16,20115201.0
17,20115201.0
18,20115201.0
19,20115201.0
20,20115201.0
21,20115201.0
22,20115201.0
23,20115201.0
24,20115201.0
25,20115201.0
26,20115201.0
27,20115201.0
28,20115201.0
29,20115201.0
30,20115201.0
31,20115201.0
32,20115201.0
33,20115201.0
34,20115201.0
35,20115201.0
36,20115201.0
37,20115201.0
38,20115201.0
39,20115201.0
40,20115201.0
41,20115201.0
42,20115201.0
43,20115201.0
44,20115201.0
45,20115201.0
46,20115201.0
47,20115201.0
48,20115201.0
49,20115201.0
50,20115201.0
51,20115201.0
52,20115201.0
53,20115201.0
54,20115201.0
55,20115201.0
56,20115201.0
57,20115201.0
58,20115201.0
59,20115201.0
60,20115201.0
61,20115201.0
62,20115201.0
63,20115201.0
64,20115201.0
65,20115201.0
66,20115201.0
67,20115201.0
68,20115201.0
69,20115201.0
70,20115201.0
71,20115201.0
72,20115201.0
73,20115201.0
74,20115201.0
75,20115201.0
76,20115201.0
77,20115201.0
78,20115201.0
79,20115201.0
80,20115201.0
81,20115201.0
82,20115201.0
83,20115201.0
84,20115201.0
85,20115201.0
86,20115201.0
87,20115201.0
88,20115201.0
89,20115201.0
90,20115201.0
91,20115201.0
92,20115201.0
93,20115201.0
94,20115201.0
95,20115201.0
96,20115201.0
97,20115201.0
98,20115201.0
99,20115201.0
100,20115201.0
101,20115201.0
102,20115201.0
103,20115201.0
104,40100000.0
105,40100000.0
106,40100000.0
107,40100000.0
108,40100000.0
109,40100000.0
110,40100000.0
111,40100000.0
112,40100000.0
113,40100000.0
114,40100000.0
115,40100000.0
116,40100000.0
117,40100000.0
118,40100000.0
119,40100000.0
120,40100000.0
121,40100000.0
122,40100000.0
123,40100000.0
124,40100000.0
125,40100000.0
126,40100000.0
127,40100000.0
128,40100000.0
129,40100000.0
130,40100000.0
131,40100000.0
132,40100000.0
133,40100000.0
134,40100000.0
135,40100000.0
136,40100000.0
137,40100000.0
138,40100000.0
139,40100000.0
140,40100000.0
141,40100000.0
142,40100000.0
143,40100000.0
144,40100000.0
145,40100000.0
146,40100000.0
147,40100000.0
148,40100000.0
149,40100000.0
150,40100000.0
151,40100000.0
152,40100000.0
153,40100000.0
154,40100000.0
155,40100000.0
156,40100000.0
157,40100000.0
158,40100000.0
159,40100000.0
160,40100000.0
161,40100000.0
162,40100000.0
163,40100000.0
164,40100000.0
165,40100000.0
166,40100000.0
167,40100000.0
168,40100000.0
169,40100000.0
170,40100000.0
171,40100000.0
172,40100000.0
173,40100000.0
