,IMMEDR
0,4.0
1,4.0
2,3.0
3,4.0
4,4.0
5,5.0
6,3.0
7,5.0
8,2.0
9,4.0
10,4.0
11,5.0
12,5.0
13,4.0
14,3.0
15,4.0
16,3.0
17,4.0
18,4.0
19,4.0
20,4.0
21,4.0
22,3.0
23,3.0
24,3.0
25,5.0
26,3.0
27,4.0
28,4.0
29,3.0
30,3.0
31,3.0
32,3.0
33,3.0
34,4.0
35,2.0
36,4.0
37,1.0
38,2.0
39,2.0
40,4.0
41,2.0
42,2.0
43,2.0
44,3.0
45,1.0
46,1.0
47,2.0
48,3.0
49,2.0
50,2.0
51,2.0
52,1.0
53,4.0
54,2.0
55,2.0
56,2.0
57,3.0
58,2.0
59,2.0
60,2.0
61,3.0
62,2.0
63,2.0
64,2.0
65,3.0
66,2.0
67,-8.0
68,4.0
69,2.0
70,1.0
71,3.0
72,2.0
73,3.0
74,2.0
75,2.0
76,2.0
77,2.0
78,2.0
79,2.0
80,2.0
81,2.0
82,2.0
83,2.0
84,2.0
85,2.0
86,2.0
87,2.0
88,2.0
89,2.0
90,2.0
91,3.0
92,2.0
93,2.0
94,2.0
95,2.0
96,2.0
97,2.0
98,2.0
99,2.0
100,2.0
101,2.0
102,2.0
103,2.0
104,2.0
105,3.0
106,4.0
107,4.0
108,4.0
109,2.0
110,3.0
111,3.0
112,4.0
113,2.0
114,3.0
115,3.0
116,3.0
117,4.0
118,3.0
119,4.0
120,3.0
121,4.0
122,4.0
123,3.0
124,3.0
125,4.0
126,3.0
127,3.0
128,3.0
129,3.0
130,4.0
131,3.0
132,5.0
133,4.0
134,4.0
135,3.0
136,3.0
137,3.0
138,4.0
139,3.0
140,3.0
141,3.0
142,3.0
143,3.0
144,3.0
145,4.0
146,4.0
147,4.0
148,3.0
149,4.0
150,4.0
151,3.0
152,3.0
153,3.0
154,4.0
155,4.0
156,4.0
157,4.0
158,4.0
159,3.0
160,4.0
161,3.0
162,3.0
163,4.0
164,3.0
165,4.0
166,3.0
167,3.0
168,3.0
169,3.0
170,3.0
171,4.0
172,3.0
173,3.0
174,3.0
175,4.0
176,3.0
177,4.0
178,4.0
179,5.0
180,3.0
181,3.0
182,3.0
183,4.0
184,4.0
185,3.0
